"GrupoEdad","Sexo","PorcCasos","CasosAcum","PorcDef","DefAcum","fecha","NA"
"g10-19","Dona / Mujer",10.4,22131,0.1,2,20210602,"2021-06-18"
"g20-29","Dona / Mujer",12.8,27180,0,1,20210602,"2021-06-18"
"g30-39","Dona / Mujer",13.8,29307,0.2,7,20210602,"2021-06-18"
"g40-49","Dona / Mujer",17.2,36370,0.7,24,20210602,"2021-06-18"
"g50-59","Dona / Mujer",15.1,32005,2.2,73,20210602,"2021-06-18"
"g60-69","Dona / Mujer",9.7,20647,5.9,193,20210602,"2021-06-18"
"g70-79","Dona / Mujer",6.6,14020,18.7,610,20210602,"2021-06-18"
"g80-89","Dona / Mujer",5.3,11201,44.3,1448,20210602,"2021-06-18"
"g90 o más","Dona / Mujer",2,4335,27.9,911,20210602,"2021-06-18"
"g0-9","Home / Hombre",7.7,15069,0,0,20210602,"2021-06-18"
"g10-19","Home / Hombre",11.4,22258,0,1,20210602,"2021-06-18"
"g20-29","Home / Hombre",12.9,25165,0.1,3,20210602,"2021-06-18"
"g30-39","Home / Hombre",13.4,26092,0.3,11,20210602,"2021-06-18"
"g40-49","Home / Hombre",17.2,33365,1.3,55,20210602,"2021-06-18"
"g50-59","Home / Hombre",15.3,29702,4.6,193,20210602,"2021-06-18"
"g60-69","Home / Hombre",10.5,20507,13.8,575,20210602,"2021-06-18"
"g70-79","Home / Hombre",6.7,13039,28.2,1174,20210602,"2021-06-18"
"g80-89","Home / Hombre",3.9,7559,37.8,1574,20210602,"2021-06-18"
"g90 o más","Home / Hombre",0.9,1700,13.9,580,20210602,"2021-06-18"
"g0-9","Dona / Mujer",6.9,14709,0,0,20210601,"2021-06-18"
"g10-19","Dona / Mujer",10.4,22121,0.1,2,20210601,"2021-06-18"
"g20-29","Dona / Mujer",12.8,27167,0,1,20210601,"2021-06-18"
"g30-39","Dona / Mujer",13.8,29296,0.2,7,20210601,"2021-06-18"
"g40-49","Dona / Mujer",17.2,36351,0.7,24,20210601,"2021-06-18"
"g50-59","Dona / Mujer",15.1,31994,2.2,73,20210601,"2021-06-18"
"g60-69","Dona / Mujer",9.7,20641,5.9,193,20210601,"2021-06-18"
"g70-79","Dona / Mujer",6.6,14019,18.7,610,20210601,"2021-06-18"
"g80-89","Dona / Mujer",5.3,11201,44.3,1448,20210601,"2021-06-18"
"g90 o más","Dona / Mujer",2,4334,27.9,911,20210601,"2021-06-18"
"g0-9","Home / Hombre",7.7,15062,0,0,20210601,"2021-06-18"
"g10-19","Home / Hombre",11.4,22246,0,1,20210601,"2021-06-18"
"g20-29","Home / Hombre",12.9,25154,0.1,3,20210601,"2021-06-18"
"g30-39","Home / Hombre",13.4,26076,0.3,11,20210601,"2021-06-18"
"g40-49","Home / Hombre",17.2,33345,1.3,55,20210601,"2021-06-18"
"g50-59","Home / Hombre",15.3,29677,4.6,193,20210601,"2021-06-18"
"g60-69","Home / Hombre",10.5,20503,13.8,575,20210601,"2021-06-18"
"g70-79","Home / Hombre",6.7,13037,28.2,1174,20210601,"2021-06-18"
"g80-89","Home / Hombre",3.9,7559,37.8,1574,20210601,"2021-06-18"
"g90 o más","Home / Hombre",0.9,1700,13.9,580,20210601,"2021-06-18"
"g0-9","Dona / Mujer",6.9,14707,0,0,20210531,"2021-06-18"
"g10-19","Dona / Mujer",10.4,22112,0.1,2,20210531,"2021-06-18"
"g20-29","Dona / Mujer",12.8,27151,0,1,20210531,"2021-06-18"
"g30-39","Dona / Mujer",13.8,29281,0.2,7,20210531,"2021-06-18"
"g40-49","Dona / Mujer",17.2,36339,0.7,24,20210531,"2021-06-18"
"g50-59","Dona / Mujer",15.1,31983,2.2,73,20210531,"2021-06-18"
"g60-69","Dona / Mujer",9.7,20640,5.9,193,20210531,"2021-06-18"
"g70-79","Dona / Mujer",6.6,14016,18.7,610,20210531,"2021-06-18"
"g80-89","Dona / Mujer",5.3,11196,44.3,1447,20210531,"2021-06-18"
"g90 o más","Dona / Mujer",2,4333,27.9,911,20210531,"2021-06-18"
"g0-9","Home / Hombre",7.8,15058,0,0,20210531,"2021-06-18"
"g10-19","Home / Hombre",11.4,22238,0,1,20210531,"2021-06-18"
"g20-29","Home / Hombre",12.9,25131,0.1,3,20210531,"2021-06-18"
"g30-39","Home / Hombre",13.4,26060,0.3,11,20210531,"2021-06-18"
"g40-49","Home / Hombre",17.2,33331,1.3,55,20210531,"2021-06-18"
"g50-59","Home / Hombre",15.3,29664,4.6,193,20210531,"2021-06-18"
"g60-69","Home / Hombre",10.5,20493,13.8,575,20210531,"2021-06-18"
"g70-79","Home / Hombre",6.7,13035,28.2,1174,20210531,"2021-06-18"
"g80-89","Home / Hombre",3.9,7557,37.8,1574,20210531,"2021-06-18"
"g90 o más","Home / Hombre",0.9,1701,13.9,580,20210531,"2021-06-18"
"g0-9","Dona / Mujer",6.9,14702,0,0,20210529,"2021-06-18"
