"fecha","GrupoEdad","Sexo","PorcCasos","CasosAcum","PorcDef","DefAcum","NA.","CasosDia","DefDia","Casos_14d","Def_14d","Casos_7d","Def_7d","PoblacionCV"
2020-06-06,"g50-59","Mujer",18.1,1696,2.2,14,"2021-07-15",8,0,0,0,54,0,5067031
2020-06-06,"g60-69","Mujer",13.5,1263,6.7,43,"2021-07-15",7,0,0,0,51,0,5067031
2020-06-06,"g70-79","Mujer",11,1033,19.4,125,"2021-07-15",10,0,0,0,40,1,5067031
2020-06-06,"g80-89","Mujer",12.7,1191,45.1,291,"2021-07-15",-1,0,0,0,18,1,5067031
2020-06-06,"g90 o mas","Mujer",6.4,601,25.7,166,"2021-07-15",0,0,0,0,4,3,5067031
2020-06-07,"g0-9","Hombre",1.1,81,0,0,"",1,0,0,0,13,0,5067031
2020-06-07,"g10-19","Hombre",1.5,109,0,0,"",0,0,0,0,15,0,5067031
2020-06-07,"g20-29","Hombre",5.4,398,0.1,1,"",5,0,0,0,26,0,5067031
2020-06-07,"g30-39","Hombre",10.9,806,0.8,6,"",2,0,0,0,45,0,5067031
2020-06-07,"g40-49","Hombre",15.7,1160,0.9,7,"",3,0,0,0,52,0,5067031
2020-06-07,"g50-59","Hombre",17.6,1298,3.4,27,"",1,0,0,0,62,0,5067031
2020-06-07,"g60-69","Hombre",17.6,1299,13.6,109,"",2,0,0,0,32,2,5067031
2020-06-07,"g70-79","Hombre",15.9,1175,32.8,262,"",0,0,0,0,28,2,5067031
2020-06-07,"g80-89","Hombre",11.4,844,36.5,292,"",2,0,0,0,14,3,5067031
2020-06-07,"g90 o mas","Hombre",3,221,11.9,95,"",0,0,0,0,0,0,5067031
2020-06-07,"g0-9","Mujer",0.7,70,0,0,"2021-07-15",1,0,0,0,11,0,5067031
2020-06-07,"g10-19","Mujer",1.4,128,0.2,1,"2021-07-15",0,0,0,0,20,0,5067031
2020-06-07,"g20-29","Mujer",7.6,717,0,0,"2021-07-15",1,0,0,0,42,0,5067031
2020-06-07,"g30-39","Mujer",12.2,1148,0.2,1,"2021-07-15",3,0,0,0,56,0,5067031
2020-06-07,"g40-49","Mujer",16.4,1538,0.6,4,"2021-07-15",4,0,0,0,76,0,5067031
